TransactionID,Amount,CustomerID,Timestamp,MerchantID,TransactionAmount,AnomalyScore,FraudIndicator,Category,Age,AccountBalance,SuspiciousFlag,TransactionHour,TransactionDay,TransactionMonth
1,55.53033442986919,1952,2022-01-01 00:00:00,2701,79.41360746377397,0.6866994638180963,0,Other,50,2869.689912187824,0,0,1,1
2,12.881180192784145,1027,2022-01-01 01:00:00,2070,12.053087153568082,0.0817488708011465,0,Online,46,9527.947107479318,0,1,1,1
3,50.17632151706568,1955,2022-01-01 02:00:00,2238,33.31035719105734,0.0238568301053087,0,Travel,34,9288.355524766564,0,2,1,1
4,41.63400105303006,1796,2022-01-01 03:00:00,2879,46.12111728963105,0.8769943477359176,0,Travel,33,5588.049941710766,0,3,1,1
5,78.12285326574603,1946,2022-01-01 04:00:00,2966,54.05161801340517,0.0340587726731107,0,Other,18,7324.785331781815,0,4,1,1
6,86.94708413376785,1204,2022-01-01 05:00:00,2757,34.54513807247706,0.1211728992013775,0,Food,45,3152.247786827239,0,5,1,1
7,51.1470964781812,1311,2022-01-01 06:00:00,2096,55.383112817522296,0.1098916756547063,0,Food,25,9253.478916937507,0,6,1,1
8,56.16398430834813,1693,2022-01-01 07:00:00,2493,17.855877857196635,0.7805342072486868,0,Travel,27,8765.03586083079,0,7,1,1
9,37.182411723100415,1347,2022-01-01 08:00:00,2612,75.65994449829373,0.0104709053716154,1,Retail,20,8935.00714558585,0,8,1,1
10,17.245409041786953,1574,2022-01-01 09:00:00,2638,67.93187884012292,0.0293762699375884,0,Other,55,5541.197921465388,0,9,1,1
11,86.18094790838266,1424,2022-01-01 10:00:00,2007,23.89562271190145,0.0834553954788118,0,Other,37,4344.549864306991,0,10,1,1
12,95.55400891993546,1302,2022-01-01 11:00:00,2746,17.797222024189402,0.4517349450635481,0,Food,54,2670.1130146853484,0,11,1,1
13,47.13851441157395,1321,2022-01-01 12:00:00,2092,64.78165788186897,0.4448031201651125,0,Other,47,2685.9423652780533,0,12,1,1
